iter	MAE
0	2486919.895
1	2408705.702
2	2340195.478
3	2279004.961
4	2219397.183
5	2162999.229
6	2112719.207
7	2063673.783
8	2019565.055
9	1967478.303
10	1929999.443
11	1883619.767
12	1841809.904
13	1809980.173
14	1779937.816
15	1743003.001
16	1711268.622
17	1677813.565
18	1655689.314
19	1631037.654
20	1600478.369
21	1576338.222
22	1549771.524
23	1524398.239
24	1503603.239
25	1486459.331
26	1467596.318
27	1449611.188
28	1435450.365
29	1417568.776
30	1397842.834
31	1379893.603
32	1369082.321
33	1356762.455
34	1341398.308
35	1330206.386
36	1321524.327
37	1310357.35
38	1296509.005
39	1284397.973
40	1271860.55
41	1260786.453
42	1250642.962
43	1243262.078
44	1233996.058
45	1222531.722
46	1215272.217
47	1207898.553
48	1199314.817
49	1192220.176
50	1184931.92
51	1177165.736
52	1169549.05
53	1165228.138
54	1159723.648
55	1153061.758
56	1148010.304
57	1142247.467
58	1139173.469
59	1134672.065
60	1129411.288
61	1125878.344
62	1121363.95
63	1118056.521
64	1113124.178
65	1110472.513
66	1105290.2
67	1101343.441
68	1097174.737
69	1094071.752
70	1090703.924
71	1088645.079
72	1086239.139
73	1082795.078
74	1078689.569
75	1077032.533
76	1074619.075
77	1071897.719
78	1068342.857
79	1065154.124
80	1062407.123
81	1059888.046
82	1058300.742
83	1055203.957
84	1053295.929
85	1050851.741
86	1049134.733
87	1047937.308
88	1046244.401
89	1044379.013
90	1042465.375
91	1040216.116
92	1037946.966
93	1036342.222
94	1034045.288
95	1033074.44
96	1031749.998
97	1030512.939
98	1029474.467
99	1027972.144
100	1023417.214
101	1022363.592
102	1020057.451
103	1018076.651
104	1016651.26
105	1015553.083
106	1014636.314
107	1013762.656
108	1012356.29
109	1011066.109
110	1008723.821
111	1007178.538
112	1005938.596
113	1004657.819
114	1002871.057
115	1001357.815
116	1000079.342
117	999058.6641
118	997588.3219
119	996249.4712
120	995228.4795
121	994652.6767
122	993852.0588
123	992936.7814
124	991969.4938
125	990804.1579
126	989668.9671
127	989026.2171
128	988383.0152
129	985631.1631
130	984809.0358
131	984120.6926
132	983268.0819
133	982356.3925
134	981126.2978
135	979320.1827
136	978666.7976
137	976256.014
138	975459.7123
139	974623.0324
140	973987.6331
141	973212.396
142	969949.095
143	969282.5628
144	966499.3005
145	965905.2026
146	965269.0185
147	963225.944
148	962694.119
149	961873.1303
150	961637.6396
151	959703.4298
152	958436.9374
153	957805.5654
154	957478.3194
155	955370.6552
156	954830.8759
157	954253.624
158	953694.9185
159	953082.291
160	952656.521
161	951946.8493
162	950030.005
163	949432.1532
164	949154.3155
165	948984.4251
166	948621.0096
167	947357.6957
168	945752.7403
169	944354.8925
170	942539.4781
171	941500.3634
172	939551.0612
173	937938.4876
174	937287.0012
175	935510.0025
176	934475.1512
177	933008.901
178	932582.4948
179	931534.5848
180	930177.7377
181	929648.4088
182	929213.6467
183	928929.1705
184	928228.7659
185	927668.5922
186	926834.8782
187	926456.8525
188	926314.8912
189	925481.6797
190	924269.6304
191	923748.8136
192	922717.9719
193	921886.4566
194	921301.2303
195	919419.2643
196	918764.2438
197	918424.0051
198	916789.9885
199	916612.1027
200	916427.1929
201	914862.2496
202	914047.2514
203	912889.5356
204	912257.0829
205	911609.3636
206	910058.1871
207	908799.9719
208	908510.8893
209	907755.2502
210	907213.6091
211	906641.4909
212	905750.2047
213	905394.6916
214	904865.6213
215	904658.5041
216	904158.1329
217	903847.3577
218	902644.6442
219	902080.2146
220	901685.6472
221	901318.018
222	900936.9752
223	900053.8501
224	899822.3909
225	899277.3966
226	898712.3417
227	898006.0254
228	897531.6469
229	896537.0274
230	895290.7903
231	895013.5191
232	894457.8905
233	894061.8587
234	893490.6843
235	893009.9587
236	892445.859
237	892089.0059
238	891384.4213
239	890840.0751
240	890258.3479
241	889911.1536
242	888903.1647
243	888737.7132
244	888175.9685
245	887393.6965
246	886934.4543
247	886188.5431
248	885528.3829
249	884938.996
250	884501.6624
251	883671.0396
252	883225.8745
253	883047.9443
254	882603.6622
255	882101.6375
256	881396.2938
257	880848.3988
258	880296.4627
259	879651.2741
260	878578.8433
261	878309.9737
262	877485.4377
263	877324.8898
264	877096.7583
265	876342.6584
266	875779.0633
267	875403.2747
268	875052.0319
269	874739.916
270	874070.9886
271	873553.3553
272	873017.4223
273	872380.9436
274	871873.14
275	871287.7514
276	870364.5806
277	869654.3422
278	869364.7666
279	868673.6225
280	868114.9051
281	867316.4517
282	866781.9681
283	866540.8129
284	866154.5459
285	865811.9651
286	865255.9505
287	864708.7663
288	864197.7386
289	863808.3328
290	863285.9722
291	862857.0179
292	862358.8047
293	861777.9763
294	860601.7691
295	860442.0118
296	859974.092
297	859697.211
298	859597.6085
299	859076.2892
300	858786.2092
301	858556.1462
302	858429.2441
303	857979.6633
304	857561.2193
305	857002.7936
306	856613.8913
307	856240.6642
308	855792.0113
309	855519.7267
310	855329.4892
311	855160.3677
312	854331.9639
313	853823.2821
314	853459.6251
315	853067.2215
316	852754.2849
317	852353.3222
318	852123.7358
319	851672.5279
320	851265.7584
321	850740.3877
322	850233.8208
323	849405.8757
324	849050.9312
325	848759.3014
326	848574.1305
327	848110.1026
328	847678.0472
329	847463.9274
330	847151.1372
331	847020.7403
332	846690.2379
333	846580.9999
334	846390.3692
335	846145.4329
336	845934.5842
337	845635.9818
338	845347.0791
339	845116.2802
340	844302.2458
341	844009.105
342	843895.7913
343	843640.6858
344	843487.8075
345	843113.2445
346	842627.931
347	842311.1512
348	841885.1028
349	841544.5675
350	841176.0735
351	840820.2509
352	840600.7765
353	840311.266
354	840166.7775
355	839971.3542
356	839630.2243
357	839306.6832
358	839026.0819
359	838790.4381
360	838301.4203
361	838152.4057
362	837812.3552
363	837352.3466
364	837098.4014
365	836721.1956
366	836404.814
367	836154.9914
368	835630.6163
369	835466.2958
370	835291.9745
371	835094.8075
372	834798.9149
373	834018.0572
374	833499.772
375	833075.2756
376	832963.6685
377	832647.8594
378	832133.5366
379	831919.4109
380	831581.2467
381	831120.4954
382	830969.2872
383	830835.0989
384	830511.0093
385	830259.8621
386	829819.5712
387	829529.5361
388	829261.8389
389	829082.9807
390	828446.1335
391	828153.0546
392	827993.3233
393	827418.6703
394	827287.6628
395	827138.8455
396	826547.0671
397	826344.4591
398	825816.4125
399	825507.8898
400	825302.5619
401	825038.4812
402	824658.6343
403	824259.2065
404	824076.191
405	823904.5687
406	823779.3613
407	823638.7753
408	823482.7084
409	823247.0992
410	823137.5922
411	823028.7079
412	822843.4281
413	822733.6683
414	822406.9469
415	822260.4246
416	822114.0838
417	821939.114
418	821459.7211
419	821235.4569
420	820939.3243
421	820745.7009
422	820451.6223
423	820154.7982
424	819939.2554
425	819720.5341
426	819477.464
427	819176.343
428	818899.5483
429	818432.2919
430	818330.3421
431	818005.6786
432	817782.3639
433	817637.3314
434	817504.9248
435	817378.0275
436	817139.409
437	816932.241
438	816788.0424
439	816587.1585
440	816307.4637
441	815966.9499
442	815759.5133
443	815366.5067
444	815125.3451
445	815013.0521
446	814545.0377
447	814233.344
448	813999.8007
449	813841.6103
450	813714.0541
451	813614.5984
452	813130.5802
453	812973.3419
454	812657.8992
455	812486.7063
456	812389.9743
457	812132.4117
458	811858.0756
459	811730.1979
460	811545.1339
461	811413.1619
462	811190.9144
463	811024.506
464	810875.0367
465	810377.9955
466	810288.0823
467	810134.4459
468	809919.5732
469	809633.8567
470	809271.5838
471	809139.0139
472	808880.3271
473	808557.3611
474	808395.9936
475	808248.5237
476	808127.0492
477	807775.3185
478	807646.6405
479	807364.7629
480	807130.3936
481	806714.4764
482	806605.7887
483	806386.6571
484	806262.5185
485	806096.884
486	805981.6279
487	805795.5489
488	805595.8678
489	805335.0302
490	805085.8975
491	804970.1624
492	804743.1305
493	804403.357
494	804349.8723
495	804231.1201
496	804151.5308
497	804031.1248
498	803967.5082
499	803776.8937
500	803586.2621
501	803364.4723
502	803063.7821
503	802834.3264
504	802708.5846
505	802445.3371
506	802339.4463
507	802079.16
508	801892.8712
509	801705.8116
510	801339.2923
511	801029.4053
512	800737.7266
513	800616.1544
514	800493.963
515	800349.1644
516	800109.9716
517	799634.5074
518	799477.1525
519	799307.5938
520	799136.5082
521	798746.4441
522	798380.2449
523	798310.0477
524	798177.4675
525	798071.2976
526	797912.7307
527	797765.7175
528	797590.5278
529	797426.3105
530	797176.1192
531	797008.0466
532	796904.6166
533	796710.664
534	796567.4346
535	796495.5401
536	796209.5026
537	796054.6098
538	795895.1451
539	795781.8711
540	795668.3409
541	795558.3677
542	795289.9908
543	794938.7843
544	794700.5631
545	794399.2944
546	794163.643
547	793925.1096
548	793741.9823
549	793610.9938
550	793507.5225
551	793371.8994
552	792958.9178
553	792627.2618
554	792579.4779
555	792410.3395
556	792123.406
557	792031.4741
558	791960.7672
559	791881.0541
560	791735.6963
561	791473.5768
562	791397.027
563	791155.526
564	791018.2055
565	790705.2645
566	790568.1563
567	790514.5127
568	790285.7379
569	790156.013
570	790085.7628
571	789887.3132
572	789734.0463
573	789587.0137
574	789413.6703
575	789293.1089
576	789169.3122
577	788961.1846
578	788843.6377
579	788778.6624
580	788680.2401
581	788619.2309
582	788379.7483
583	788304.7443
584	788117.548
585	788037.8566
586	787850.2436
587	787784.4074
588	787467.295
589	787275.3007
590	787045.3212
591	786932.4119
592	786822.464
593	786775.5937
594	786573.9729
595	786498.062
596	786352.3404
597	785995.3993
598	785830.8028
599	785705.569
600	785662.1797
601	785526.1783
602	785390.1359
603	784991.0646
604	784890.8571
605	784727.4104
606	784530.9698
607	784469.7226
608	784366.0906
609	784203.9593
610	784149.9987
611	784060.3547
612	783814.4609
613	783746.6624
614	783523.0945
615	783429.1822
616	783371.7713
617	783235.0452
618	782999.463
619	782862.8595
620	782735.4242
621	782590.2909
622	782452.7933
623	782363.6197
624	782179.9406
625	782082.2025
626	782043.9981
627	781946.823
628	781822.1859
629	781688.1987
630	781606.6054
631	781418.922
632	781161.4455
633	781068.5927
634	780975.6652
635	780892.3539
636	780626.1981
637	780591.5444
638	780331.3471
639	780284.4333
640	780150.5379
641	780084.1569
642	779932.3176
643	779861.0392
644	779637.6799
645	779475.086
646	779379.4323
647	779338.3291
648	779188.7224
649	779091.3296
650	778948.3247
651	778910.7673
652	778795.4597
653	778628.9791
654	778536.8572
655	778470.8891
656	778150.9735
657	778073.7753
658	777932.0886
659	777838.9177
660	777781.2101
661	777697.0731
662	777631.9584
663	777517.7226
664	777447.2845
665	777344.4108
666	777302.7165
667	777231.0383
668	777120.9189
669	777073.2808
670	777006.8543
671	776865.5112
672	776777.3857
673	776429.9727
674	776343.2248
675	776220.6784
676	776183.5792
677	776100.2021
678	776038.2798
679	775950.2245
680	775898.0717
681	775820.3678
682	775717.4617
683	775553.8169
684	775421.7806
685	775163.0025
686	774962.8391
687	774756.1112
688	774624.0062
689	774565.6642
690	774469.7864
691	774369.9513
692	774225.0185
693	774155.69
694	774077.798
695	773961.8869
696	773858.5343
697	773758.7665
698	773649.4129
699	773354.3487
700	773288.1256
701	773101.8101
702	772852.3151
703	772794.5511
704	772583.4703
705	772507.3761
706	772454.3082
707	772390.6
708	771983.635
709	771779.0793
710	771637.6205
711	771541.7119
712	771465.9119
713	771421.5762
714	771340.8035
715	771301.0052
716	771208.1613
717	771110.9733
718	770958.9277
719	770881.2915
720	770789.2618
721	770694.7109
722	770536.8438
723	770495.3979
724	770280.6456
725	770122.3291
726	769996.2567
727	769747.2203
728	769611.581
729	769509.6382
730	769370.8223
731	769221.5153
732	769126.4946
733	768942.3261
734	768715.284
735	768567.3248
736	768519.3973
737	768450.0332
738	768294.3741
739	768206.2278
740	768067.547
741	767951.8727
742	767901.9832
743	767665.3115
744	767591.3243
745	767538.4925
746	767456.9965
747	767398.6012
748	767275.8253
749	767025.507
750	766817.6749
751	766734.0591
752	766630.8802
753	766518.1527
754	766316.8169
755	766211.0368
756	766158.8818
757	766107.2665
758	766064.7973
759	766008.8496
760	765948.1333
761	765771.7271
762	765516.5688
763	765479.3843
764	765331.3646
765	765287.5281
766	765148.2366
767	765004.4018
768	764841.3277
769	764820.4732
770	764765.9004
771	764670.2129
772	764568.1748
773	764489.8693
774	764426.367
775	764322.2536
776	764267.8434
777	764180.4276
778	764160.0078
779	763976.0442
780	763912.5198
781	763795.9208
782	763705.4852
783	763603.3575
784	763307.0129
785	763193.9128
786	763001.0714
787	762894.2061
788	762842.2414
789	762794.9465
790	762725.8812
791	762526.1434
792	762493.7096
793	762353.0714
794	762208.7079
795	762132.1242
796	761971.1895
797	761902.1316
798	761781.4099
799	761581.8999
800	761494.0138
801	761441.7652
802	761340.0113
803	761205.8497
804	761108.3779
805	761022.2169
806	760926.5146
807	760867.4409
808	760691.0304
809	760546.677
810	760487.2833
811	760322.1567
812	760053.3084
813	759916.3031
814	759868.816
815	759833.0544
816	759616.9119
817	759462.4766
818	759284.0104
819	759148.3703
820	759075.6424
821	758840.8134
822	758767.3436
823	758593.7789
824	758514.7414
825	758445.7363
826	758337.2814
827	758210.1193
828	758130.5564
829	758036.5357
830	757989.0116
831	757855.1883
832	757787.1117
833	757678.8474
834	757615.3307
835	757421.7215
836	757311.0063
837	757204.0432
838	757081.084
839	756960.2844
840	756917.2184
841	756871.3008
842	756706.6881
843	756612.1906
844	756541.6826
845	756500.1603
846	756364.732
847	756220.9073
848	756158.2224
849	756086.3862
850	756020.6025
851	755993.3987
852	755894.5912
853	755596.7679
854	755519.1703
855	755429.6212
856	755362.3231
857	755248.6748
858	755144.7658
859	755084.8588
860	755043.7975
861	754903.6621
862	754872.0129
863	754798.4005
864	754703.8483
865	754571.3269
866	754525.2829
867	754326.6406
868	754253.2735
869	754194.9027
870	754103.0313
871	754050.5169
872	754002.9086
873	753907.0994
874	753843.5602
875	753755.4158
876	753630.8374
877	753557.9263
878	753504.4268
879	753475.7162
880	753331.1047
881	753263.9764
882	753094.4238
883	752983.7091
884	752879.1095
885	752658.149
886	752544.5023
887	752486.7151
888	752443.4629
889	752387.4109
890	752308.8275
891	752218.6063
892	752039.528
893	751953.2656
894	751871.5914
895	751821.2519
896	751687.7723
897	751649.8927
898	751590.6686
899	751478.255
900	751401.5246
901	751174.1676
902	751062.1706
903	751003.7483
904	750924.775
905	750840.7243
906	750799.159
907	750721.0221
908	750596.199
909	750444.2045
910	750387.3361
911	750214.852
912	750076.7702
913	749858.2444
914	749746.2105
915	749653.6011
916	749404.2737
917	749319.5546
918	749254.1136
919	748924.9484
920	748713.5745
921	748433.9011
922	748402.1492
923	748151.7753
924	747927.4662
925	747852.4216
926	747744.8468
927	747608.4803
928	747384.939
929	747318.8595
930	747237.0318
931	747114.3425
932	747033.137
933	746891.1346
934	746852.4583
935	746801.1086
936	746725.2699
937	746676.9744
938	746631.0788
939	746603.0507
940	746510.087
941	746408.4347
942	746321.7279
943	746289.2821
944	746191.8649
945	746134.4003
946	746075.5694
947	746012.9863
948	745908.0867
949	745755.4499
950	745723.9293
951	745673.8343
952	745640.314
953	745541.6235
954	745377.3321
955	745202.3486
956	745145.4028
957	745071.7551
958	745028.5861
959	744979.8121
960	744913.2858
961	744768.1154
962	744634.3797
963	744574.783
964	744506.6216
965	744447.0339
966	744355.4736
967	744265.7192
968	744211.5726
969	744130.6013
970	744087.5045
971	743838.7274
972	743809.3812
973	743686.1402
974	743598.7616
975	743523.1691
976	743401.6252
977	743343.5256
978	743330.4851
979	743123.3303
980	742999.934
981	742967.4078
982	742839.1651
983	742697.3862
984	742431.7025
985	742209.7379
986	742040.3306
987	741922.4159
988	741882.6748
989	741847.3679
990	741772.9045
991	741743.2892
992	741716.83
993	741681.8189
994	741468.4546
995	741361.8384
996	741317.3439
997	741285.084
998	741191.6099
999	741098.9398
1000	741072.5972
1001	741027.7326
1002	740851.1846
1003	740785.6324
1004	740669.6358
1005	740639.5814
1006	740539.9495
1007	740511.1683
1008	740453.9749
1009	740320.2709
1010	740241.7094
1011	740131.136
1012	740035.2619
1013	739944.2665
1014	739833.8473
1015	739760.6986
1016	739680.0258
1017	739571.5652
1018	739521.4021
1019	739488.7397
1020	739363.2121
1021	739272.1436
1022	739226.9244
1023	738970.5572
1024	738944.1044
1025	738812.2873
1026	738782.5779
1027	738701.1882
1028	738560.3915
1029	738491.6935
1030	738425.6165
1031	738398.4919
1032	738345.6751
1033	738249.6005
1034	738204.3278
1035	738099.9965
1036	738041.2987
1037	737968.7023
1038	737917.7005
1039	737806.2201
1040	737791.203
1041	737729.8318
1042	737578.4799
1043	737451.4716
1044	737353.0157
1045	737306.545
1046	737122.8235
1047	737096.4678
1048	737018.1274
1049	736766.492
1050	736738.5524
1051	736665.6027
1052	736616.3476
1053	736573.2281
1054	736487.646
1055	736427.4836
1056	736297.3761
1057	736228.0451
1058	736189.5233
1059	736146.82
1060	736079.9659
1061	736038.7692
1062	735930.9353
1063	735880.9356
1064	735869.6382
1065	735807.0924
1066	735717.1562
1067	735622.5073
1068	735581.4933
1069	735541.3805
1070	735489.523
1071	735431.9516
1072	735361.532
1073	735293.2476
1074	735201.0393
1075	735100.8514
1076	735059.7403
1077	735006.6738
1078	734896.1477
1079	734825.5965
1080	734763.0923
1081	734742.7625
1082	734707.5823
1083	734645.8667
1084	734553.8272
1085	734512.7857
1086	734472.1244
1087	734394.4257
1088	734358.9878
1089	734159.3486
1090	734057.6061
1091	734017.4023
1092	734011.8645
1093	733969.3631
1094	733921.8952
1095	733862.6673
1096	733854.3219
1097	733793.3403
1098	733668.2463
1099	733639.4155
1100	733561.017
1101	733440.2096
1102	733404.6034
1103	733368.657
1104	733219.9966
1105	733174.5678
1106	733115.4405
1107	733085.4735
1108	732982.5601
1109	732948.1492
1110	732879.1358
1111	732847.2015
1112	732796.5624
1113	732691.0896
1114	732609.0408
1115	732554.2536
1116	732462.8264
1117	732425.6834
1118	732367.7454
1119	732261.4661
1120	732207.2085
1121	732146.5328
1122	732109.4665
1123	732018.526
1124	731951.3036
1125	731904.2242
1126	731877.4956
1127	731799.6187
1128	731768.175
1129	731645.9593
1130	731609.0181
1131	731574.1077
1132	731538.8953
1133	731397.4321
1134	731310.8058
1135	731260.7452
1136	731240.3034
1137	731213.8383
1138	731168.298
1139	731144.4041
1140	731093.9127
1141	730966.906
1142	730907.2584
1143	730698.9617
1144	730635.141
1145	730589.8142
1146	730558.9572
1147	730499.053
1148	730454.2132
1149	730382.9133
1150	730278.8121
1151	730096.5864
1152	729968.1678
1153	729906.0152
1154	729815.2104
1155	729761.7717
1156	729742.8306
1157	729697.0305
1158	729606.0133
1159	729473.8631
1160	729402.5467
1161	729199.8332
1162	729082.0515
1163	728934.8655
1164	728881.7366
1165	728786.3244
1166	728691.4423
1167	728633.8941
1168	728533.0395
1169	728481.7272
1170	728452.4401
1171	728418.8384
1172	728357.9297
1173	728279.2326
1174	728251.591
1175	728180.0221
1176	728069.7097
1177	727931.6532
1178	727910.1909
1179	727768.3243
1180	727682.6242
1181	727662.0534
1182	727588.4031
1183	727433.1898
1184	727348.3907
1185	727312.1587
1186	727172.6265
1187	727103.9779
1188	727044.1206
1189	727010.0568
1190	726985.4897
1191	726945.8613
1192	726880.2638
1193	726697.477
1194	726611.4605
1195	726510.1561
1196	726481.4434
1197	726436.852
1198	726390.1284
1199	726351.5258
1200	726164.8088
1201	726055.0872
1202	725992.2584
1203	725941.8104
1204	725820.6913
1205	725700.7346
1206	725665.0699
1207	725601.9973
1208	725562.7113
1209	725520.5618
1210	725421.2802
1211	725317.0976
1212	725216.2221
1213	725196.52
1214	725106.3966
1215	724995.1945
1216	724920.5195
1217	724841.6184
1218	724620.0145
1219	724602.3553
1220	724527.9216
1221	724391.0295
1222	724359.7103
1223	724315.1089
1224	724272.4745
1225	724229.7725
1226	724147.9633
1227	724117.137
1228	724090.7662
1229	724062.8172
1230	723891.7546
1231	723825.6824
1232	723803.5915
1233	723783.6196
1234	723769.9199
1235	723627.329
1236	723518.3726
1237	723473.2262
1238	723444.4592
1239	723389.4318
1240	723367.2644
1241	723337.8459
1242	723312.9411
1243	723293.3746
1244	723217.2347
1245	723119.9
1246	723069.9381
1247	722935.1122
1248	722911.2574
1249	722813.374
1250	722782.6379
1251	722699.9619
1252	722637.3458
1253	722482.044
1254	722412.6318
1255	722364.5684
1256	722339.0365
1257	722259.0116
1258	722218.14
1259	722152.7654
1260	722098.0783
1261	722075.0431
1262	722010.7592
1263	721918.5499
1264	721878.5903
1265	721826.3126
1266	721797.5844
1267	721682.6622
1268	721653.0374
1269	721548.6663
1270	721421.5635
1271	721369.1941
1272	721347.3681
1273	721261.9705
1274	721206.6007
1275	721152.628
1276	721127.247
1277	721113.648
1278	721017.8534
1279	720881.9176
1280	720834.0176
1281	720781.581
1282	720742.119
1283	720695.1735
1284	720657.9214
1285	720641.0618
1286	720619.4002
1287	720487.8227
1288	720423.1965
1289	720310.0665
1290	720288.563
1291	720237.1128
1292	720155.0014
1293	720098.3979
1294	720077.1164
1295	719883.5451
1296	719873.4137
1297	719753.1622
1298	719738.9725
1299	719648.8033
1300	719621.952
1301	719569.5913
1302	719547.0474
1303	719501.5599
1304	719487.6933
1305	719465.5282
1306	719427.519
1307	719385.3713
1308	719362.4604
1309	719283.5207
1310	719263.3624
1311	719151.9453
1312	719106.5551
1313	719027.7196
1314	718998.0108
1315	718943.0313
1316	718903.9353
1317	718844.9607
1318	718829.183
1319	718758.9479
1320	718720.1427
1321	718547.2946
